Vardas                   Pavarde                         ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Petras                   Vasiliauskas                      2         3        10         9         5        10         1         2         8         5         1         8         9         3         4         4
Ona                      Zukauskas                         7         8         9         7         6         7         6         9         1         6         7         5         7         9         8         5
Marija                   Zukauskas                         7         2         1         3        10        10         1         8         7         9         4         5         9         9         3         8
Ona                      Paulauskas                       10         9        10         4         1         5         1         4         8         5         6         9         6         3         6         1
Jurate                   Jankauskas                        8         6         9         9         7         8         4         7         4         4         1         3         1         8         2         2
Mindaugas                Baranauskas                       3         6         2         7         3         6         1        10         2        10         5        10        10         3         7         9
Marija                   Baranauskas                       9         6         6        10         4         1         7         6         1         2         1         2         8         5         7         3
Jonas                    Kazlauskas                        7         5         5         6         5         3         3         5         8         5         3         3         6         4         4         9
Tomas                    Kazlauskas                        3         8        10         5         5         6         2         2         1         4         6         7         3         1         9        10
Jurate                   Jankauskas                        3         6         1         8         3         3         4         7         2         5         4         6        10         5         9         5
Petras                   Baranauskas                       4         5         9         9         4         1        10         8         5         7        10         3         1         4         8         5
Greta                    Jankauskas                        6         8         4         9         6         4         8         9         8         8         7         3         8         8        10         2
Ona                      Zukauskas                         3         9         6         6         3         3         5         9         2        10         2         1        10         2         8        10
Jurate                   Kazlauskas                       10         6         9         3         2         9         1         1         3         9         7        10         4         9         6         8
Petras                   Petraitis                         2         1        10         1         6         3         4         7         9         3         3         7         7         6         7         5
Tomas                    Stankevicius                      3         6        10         8         1         3         9        10         5         6         4         8         3         2        10         1
Tomas                    Jonaitis                          3        10         1        10         2         8         2         7         9         2        10         1        10         1         7         6
Tomas                    Paulauskas                        8         1         1         9        10         1         5         4         2         7         3         3         4         7         2         4
Ona                      Stankevicius                     10         2         9        10         2         2        10         3         4         6         7         5         2         9         9         3
Tomas                    Paulauskas                        9         7         4         1         8         3         3         7         4         4        10         3         9         3        10         2
Ona                      Vasiliauskas                      9         1         4         1         9         3         8         2         5         7         6         7         3         2         3         3
Marija                   Kazlauskas                        3         3         7         6         3         9         5         6         9         7         2        10         5         6         9         1
Mindaugas                Baranauskas                       9         7         1         4         6         3         8         3         1        10         3         5         8         1         1         5
Ruta                     Baranauskas                       3         6         1         5         6         7         5         2         2        10         9         6        10         1         8         7
Jurate                   Stankevicius                      8         8         9         7        10         6         7         7         4         5         3         7         9         2         5         1
Marija                   Antanaitis                        8         6        10         3         6         9         3         2         8         9         1         6         4         5         9         7
Greta                    Antanaitis                        8         5         1         4         4         5         9         2         8         2         2         6         2         7         1         2
Tomas                    Paulauskas                        5        10         2         7         5        10         1         5         5         5         9         3         8         8         6        10
Ruta                     Zukauskas                         8         4         5         8         7         1         2         8         2         8         2         8         8         6         7         8
Jurate                   Petraitis                         7         3         5         2         9         4         9         2         7         6         5         6        10         2         5         8
Ona                      Stankevicius                      3         1        10        10         5         6         8         9         2        10         7         7        10         8         3         2
Tomas                    Petraitis                         8         6         6         1         7         7         5         3         4         5         6         5         1         3         6        10
Ruta                     Paulauskas                        3         9         1         6         8         6         3        10         3         9         4         7         5         8         4         5
Ruta                     Jonaitis                          2         6         1         5         4         3        10         4         8         5         3         2         3         9         8         6
Ruta                     Stankevicius                      5         3         5         2         5         1         4         9         6         8        10         9         6         6         2         2
Ruta                     Vasiliauskas                      4         1         5         1         4        10         4         8        10         8         8         5         5         9         6         2
Petras                   Zukauskas                         2         9         8         3         9         8         1         5        10         6         5         3         7         8         2         9
Jurate                   Paulauskas                        6         1         2         6         4         2         5         7         3         4         9         7         4         6         3         1
Jurate                   Petraitis                         1         5         9         3         9         4         7        10         1         5         2         4         3        10         7         2
Ruta                     Petraitis                         3         2        10        10         3         3         8         6         1         7         8         5         1         2         9         5
Greta                    Stankevicius                      1         8         4         1         6         1         9         3         5         3         5         4         5         9         3         9
Petras                   Vasiliauskas                      4         2        10        10         2         9         5         4         6         5         4         1         2         6         5         2
Ona                      Petraitis                         7         2         5         9         4         4         2        10         9         5         1         9         6         2         5         3
Jonas                    Paulauskas                        1         7         2         5         6         7         7         6         1         5         7         7         4         3         2        10
Tomas                    Petraitis                         2         6         4         8         8         5         1         5         8         5         2         4         4         8         6         1
Mindaugas                Kazlauskas                        3         3         6         3         7        10         2         8         6         7         6         3         2         8         9         2
Ruta                     Kazlauskas                        4         1         2         6         5         7         9         2         6         2         9         3         9         6         8         1
Petras                   Zukauskas                         5         2         9         8         4         5         1         4         6         9         9         4         9         2         1         6
Greta                    Petraitis                         8         9         2         3         5         5         1         2         8         7         5         4         2         3         4         4
Tomas                    Jonaitis                          5         3         4         7        10         6        10         7         6         8         1        10         5         5         1         5
Jurate                   Antanaitis                        5         6        10        10         6         3         7        10         8         5        10         6         4         6         1         9
Marija                   Stankevicius                      2         5         2         2         3        10         8         9         1         9         4         3         5         6        10        10
Ruta                     Zukauskas                        10         9         5         2         2         9         8         4         5         1         8         9         4         1         8         7
Jonas                    Vasiliauskas                      9         3         4         5        10         8         9         8         5         8         8         9         1        10         8         8
Greta                    Zukauskas                         3         8         3        10         9         8         4         5         7         3         3         6         8        10         6         4
Mindaugas                Petraitis                         9         7        10         3         8         5         3         1         4         3         8         9         7         6         2         7
Greta                    Antanaitis                        7         9         1        10         2         2         8         4         4         6         8         8         8         1        10         1
Tomas                    Baranauskas                       3         9         4         1        10         6         4         1         3         7         6         8         4         4         5         9
Tomas                    Zukauskas                         6         9         7         1         1         5         3        10        10         5         9         5         9         1         8         1
Tomas                    Stankevicius                      6         2        10         5         6         3        10         1         3         6         3         3         2         8         2         5
Marija                   Petraitis                         2         2         1         2         5         9         1         8         6         3         9        10        10         1         1         2
Petras                   Antanaitis                       10         6         9        10         7         2         2         1         6         2         1         5         7         5         6         8
Mindaugas                Jankauskas                        1         5         2         4         7         8         2         6         4         5        10         6         2         1         7         8
Ruta                     Stankevicius                      6         8         2         6        10         8         7         5         4         6         9         2         2         3         1         3
Tomas                    Zukauskas                         9         4         9         4         3         2         9         2         9         8         6         3         3         4         6         3
Jurate                   Vasiliauskas                      9         2         6         8        10         5         1         2         3         9         5         3         5         9         4         8
Antanas                  Baranauskas                       4         5         2         3         5         3        10         4         4         7         4         5         1         5         1         2
Antanas                  Vasiliauskas                      1        10         7         4        10         9         8         6        10         2        10         2         3         3         7         9
Ruta                     Vasiliauskas                      3         5        10         7         4         9         1         1         5         3         3         3         7         2         3         3
Jurate                   Baranauskas                       6         7         5        10         1         4         6         6         4         7         9        10         1         1         3         2
Ruta                     Kazlauskas                        8        10         8         9         5         7         5         4         9         9         9         5         2         7         3         5
Marija                   Baranauskas                       4        10         4         3         9         5         7         5         9         2         6         7         2        10         1         5
Jonas                    Kazlauskas                        9         6         3         6         2         9         9         3         3         1         1         7         9         8         5         4
Petras                   Zukauskas                         3         4         2         7         5         9         1        10         2         9         1         4         3         1         7         4
Ruta                     Petraitis                         3         3         2         9        10        10         2         5         3        10         9         4         2         1         5         6
Greta                    Jonaitis                          4         2         8         9         3         6         6         7         9         9         9         2         9        10         1         9
Greta                    Kazlauskas                        3         6         9         1        10         3         2         8         1         6         5         8         2         6         8         6
Petras                   Paulauskas                        2         3         7         5         9         2        10         7         2         2         1         6         9         3         1         7
Ona                      Jonaitis                          4         3         4         4         3         8         5         5         6        10         3         9         1         1         1         5
Petras                   Petraitis                        10         1         8         1         6        10         4         9         4         3         4         8         1         5         2         6
Ruta                     Zukauskas                         2         9         6        10         4         7        10         9         6         1        10         3         2         5         4         2
Tomas                    Jankauskas                        9         2         1         3         3         9         7        10         1         7         5         2         1         4         1         7
Jonas                    Vasiliauskas                      3         4         6         4         4         3         7        10         2         1        10         4         3         1         2         4
Marija                   Antanaitis                        2        10         3         5         6         3         4         8         8         1         4         1         5        10         2         9
Jurate                   Baranauskas                       3         8         7         3         1         3         3         4         4         7         9         9         1         4         6         1
Mindaugas                Jankauskas                        7         9         4         6         7         6         8         1         9         1         4         7         1         2         8         1
Marija                   Vasiliauskas                      4         4         7        10         2        10         7        10         6         4        10         6         7         3         2         5
Ruta                     Jankauskas                        5         8        10        10         5        10         7         8         3         3        10         6         2         6         5         1
Tomas                    Petraitis                         2         2         5         7         9        10         1         8        10         3         2         9         9         2         3         4
Jonas                    Jonaitis                          9         4         2         8         1        10         2         1         3         3         7         9         3         7         2         8
Jonas                    Stankevicius                      7         9         2         3         1         9         5         2         2         5         4         6         2         5         9         4
Mindaugas                Jankauskas                        3         7         6         2         8         7         4         8         7         8         1        10         5         6         5         1
Jurate                   Baranauskas                       4         3        10         9        10         5        10         7         3         5         6         1         4         8        10         5
Mindaugas                Antanaitis                        7         8         5         2         7         7         7         3         2         8         1         1         2         2         9         4
Jurate                   Jankauskas                        5         1         1         9         1        10         2         5         8         9         2        10         5         8         8         6
Ruta                     Jonaitis                          1         5         7         6        10         8         8         7         6         3         7         6         3         7         7         6
Marija                   Antanaitis                        9         1         5         5        10         3         4         7        10         2         2         4        10         9         7         5
Mindaugas                Jankauskas                        7         6         7         1         4         1         1         5         7         1         6         3         5         5         5         2
Greta                    Antanaitis                        5         4         6         2         1         7         7         3         9         2         1         9         9         3         3         7
Ona                      Baranauskas                       5         8         3         3         8         4         4         8         3        10         1         1         1         3         7         4
Tomas                    Paulauskas                        9         9         2         8         4         4         5         7         9         2         1         8         4         1         8         7
Tomas                    Vasiliauskas                      1         6         3         1         7         3         5         7        10         5         7         1         2         2         7         7
Mindaugas                Baranauskas                      10         2         8         5         6         6         8         9         1        10         1         9         4         7         5         5
Antanas                  Antanaitis                        3         3         4         1         5         8         5         5         9         6         6         9         2         4         6         2
Ruta                     Kazlauskas                       10         3         6        10         5        10         5         8         4         2         4         1         3         9         8         6
Antanas                  Antanaitis                        2         5         3         4         1         2         9         2         9         6         6         2         1         6         4         3
Ruta                     Zukauskas                         1         4         7         3         9         9         8         9         3         6        10         3         3         7         4         8
Antanas                  Kazlauskas                        6         4         8        10         2         2         8         1        10         8         5         7         9         7         2        10
Jurate                   Petraitis                         9        10         4         9         7        10         4         6         9         5         8         6         7         9         5         4
Antanas                  Zukauskas                         5         2         3         2         8         1         2         7        10         8         7         8         7         2         3         3
Ona                      Stankevicius                     10         6         7         2         2         9         4         4         6         6         7         4         7         4         2         2
Marija                   Petraitis                         1         1         2         8         1         8         8         4         1         9         1         8         2         3         8         5
Tomas                    Stankevicius                      2        10         5         3         5         3         1         9         4         1         9         5         1         9         2         3
Mindaugas                Zukauskas                         5        10         3         5         4         5         1         6         7         1         9        10         1         6        10         5
Ruta                     Vasiliauskas                     10         2         5         1         3         9        10         5         5         3         1         7        10         8         7         9
Greta                    Paulauskas                        8         1         3         8         6         1         7         7         4         3         7         8         4         8         4         7
Greta                    Baranauskas                       1         1         4         7         8         3         2         3         8        10         3         1         9        10         3         4
Ona                      Paulauskas                       10         5         8         7         7         8         2         3         6         6         7         8         3         8         3         6
Ona                      Jankauskas                        7         4         2         8        10         9         6         6         6         7         1         3         2         7         1         2
Tomas                    Kazlauskas                        2        10         3         3         6         1         7         6         9         5         1        10         3         1         8         5
Mindaugas                Stankevicius                      1         2         6         3         3        10         7         8        10         3         5         1        10         5         2         6
Petras                   Paulauskas                        4         2         7        10         2         4        10         7        10         1        10         7         5         2         7        10
Antanas                  Vasiliauskas                      2         7         6         6        10         4         7         3         8         6        10         9         8         9         8         8
Marija                   Jonaitis                          7         4         6         8         8         4         3         5         5         9         3         8         6        10         7         4
Marija                   Stankevicius                      1        10         9         5         7         3         4         3         8         2         8         5         9         7         8         7
Marija                   Antanaitis                        5         6         6        10         8         5        10         2         3         4         6         7         1         9         5         2
Tomas                    Stankevicius                      7         3         9         4         9         7         9         1         4         6         2         6         8         6         3         3
Ona                      Stankevicius                      5         8         5         3         3         4         6         1        10         4         1         5         9         3        10         1
Tomas                    Baranauskas                       8         3         9         4         2         5         2         8         9         4         3         4         4         2        10         4
Tomas                    Vasiliauskas                     10         1         3         7         5         2         9         5         6         2         2         7         9        10        10        10
Petras                   Jankauskas                        2         6         1         2         5         3         2         7         9         8         9         9         2         4        10         5
Antanas                  Petraitis                         2         6        10         4         3         3         5         7         5         8         4         5         5         4         3        10
Mindaugas                Vasiliauskas                      9         5         7         2         3         9         8         3         4        10         7        10         7         1         9         4
Petras                   Paulauskas                        4         2         6         8         6         7         7         7         6         5         3         5         7         6         5         5
Jurate                   Baranauskas                       8         7         8         6         1         4         6         2        10         9         4         5         8         1         3         8
Tomas                    Stankevicius                      5         6         9         4         4         7         9         4        10         4         7        10         4         2         4         9
Marija                   Antanaitis                        3         3        10         3         8         9        10         2         4         7         1         7         2         7         8         9
Tomas                    Stankevicius                      9         1         9        10         1        10        10         3         2         1         7         2        10         8         3         1
Ona                      Jankauskas                        1         9         6         9         1         4         8         3         5        10         7         9         2         3        10         3
Antanas                  Baranauskas                       7         1         2         4         7         2         4         4         3         7         7         2         9         4         1         2
Jurate                   Petraitis                         1         9         3         5         7         4         6         2         2        10         8         6         4         4         4         5
Ona                      Kazlauskas                       10         8         4         4         3         1         5         7         1         5        10         6         2         5         3         7
Antanas                  Jankauskas                        2         7         6         9        10         1         4         1         6        10         3        10         1        10         3         4
Ona                      Antanaitis                        6         2         8         9         9         3         9         8         4         2        10         1         4         3        10         8
Marija                   Petraitis                         4        10         1         8         5         8         5         2         9         2         6         6         2         4        10         3
Greta                    Antanaitis                       10         4         1         9         7         8         6         4         4         9         4         7         4         9         8         3
Tomas                    Stankevicius                      6         2         1         6         1         1         5         8        10         1         8         1         9         7         6         7
Marija                   Baranauskas                       9         8         5         2         5         1         3         5         6         6         6         2         3         7         4         4
Jonas                    Paulauskas                        6         7         8         5         4         4         8         8         4         3         5         1         8         2         3         4
Petras                   Stankevicius                      7         2         5         3         9         9         7         3         6         4         8        10        10         9         7         8
Jonas                    Antanaitis                        4         5         1         2         3         7         3         7        10         4         7         8         8         5         3         9
Tomas                    Kazlauskas                       10         5         1         5         9         3         6         1        10         1        10         1         6         6        10         3
Antanas                  Baranauskas                       7        10         5         6         4         7         3         4         2         8         4         3        10         5         3         2
Ona                      Jonaitis                          7         9         7         6         7         4         7         9         2         4         8         8         1         3         6         2
Antanas                  Jankauskas                        4         1        10         9         2         8         9        10         4         7         4         2         5         7         7         7
Ona                      Kazlauskas                        8         6        10         3         9        10         1         4        10        10         4         2         7         4         1         8
Greta                    Baranauskas                       7         6         4         2         7         9         2         8         9         6        10         8         1         3         6         6
Ona                      Zukauskas                         1         9         9        10         9         7         6         6         1         9         3         1         1         2         9         6
Mindaugas                Jonaitis                          3         1        10         9         3         8         7         4         6         3         1         3         5         2         7         8
Tomas                    Kazlauskas                        5         8         4         7        10         5         5         5         2         3         8         9         8         1         1         9
Marija                   Petraitis                         7         4         9         6         7         5         1         5        10         5         4         3         2         4         7         8
Mindaugas                Stankevicius                      4         3         2        10         8        10         6         5         6         6         1         5         3         7         8        10
Jurate                   Baranauskas                       5         5         6         2         3         1         1        10         5         5         4         6         4         4         7         6
Jonas                    Stankevicius                      6         6         6         7         3         8         5        10         5        10         5        10         3         9        10         2
Antanas                  Jonaitis                          8         2         1         5         9         8         2         2         6         8         1         2         9         7         3         7
Jonas                    Jankauskas                        1         5         2         1         2         3         4         7         2         1        10         5         8         9         7         3
Ruta                     Stankevicius                      5         9         6        10        10         9         3         4         2         1         5         2        10         1        10         4
Ruta                     Stankevicius                      8         2         8         5         2         5         8         9         2         8         5         3         7         3         5        10
Petras                   Kazlauskas                        6         5         6         8         2         8        10         1        10        10         2         9         6         5         4         6
Antanas                  Antanaitis                        9         8         2         5         4         9         9         3         9         9         3         8         2         1         3         7
Jurate                   Jankauskas                        1        10         9         5        10         8         8         7         3         7         5         6         7         3        10         8
Jurate                   Jankauskas                        7         9         5         6         9         1         8         6         8         4         1         6         8         6         2         2
Petras                   Paulauskas                        7         7         2        10         6         6         8         5        10         4         3         6         1         1         8         9
Mindaugas                Vasiliauskas                      6         4         3         2         5         1         1         3         1         8         1         5         9         9        10         5
Jurate                   Antanaitis                        9         8         1         9         8         3         1         3         9         3         6         3         4         9         7         1
Jurate                   Jankauskas                       10         1         4         4         9         2         7         8         1         9        10         6         9         2         1         7
Jonas                    Paulauskas                        4         7         3         3         9         5         9         9         6         3         4         4         6        10         3         9
Jurate                   Vasiliauskas                     10         2         4         8         6         2         5         2         4         9        10         7         3         8         3         2
Petras                   Stankevicius                      1         6         1        10         1         4         9         4         9         8         2        10         5         5         4         8
Ona                      Kazlauskas                        3         4         5         5         6        10         5         9         7         5         8         7        10         8         3         2
Mindaugas                Paulauskas                        5         6         4         9         1         1         1         4         6         4        10         2         2        10         6         4
Greta                    Jankauskas                        9         9         4         4         8         7         3         2         1         7         9         6         7         1         9         2
Mindaugas                Paulauskas                        9         7         2         7         7         8         2         4         4         4         7         6         2         5         2         6
Mindaugas                Paulauskas                        3         5         7        10         9         5         4         9         1         8         7         7         5         8         2        10
Mindaugas                Antanaitis                        4         2         7        10         5         1         9         5         6         4         1         4         3        10         8        10
Mindaugas                Baranauskas                      10         1         4         5         8         9         7         5         1         3         7         9         7         2         4        10
Tomas                    Jankauskas                        2         9         3         5         4         3         4         6         9         9         4         9         7         8         9         6
Ruta                     Jankauskas                        3         9         6        10         5         3         7         9         3         1         3         7         4         6         4        10
Marija                   Jankauskas                        7         4         7         5         9         8        10         4         6        10         6         6         2         4         9         9
Ruta                     Baranauskas                       7         5         3         2         9         9         8         5         5         6         4         6         1         9         5         4
Ruta                     Zukauskas                        10         3         5        10         1        10         2         2         8         2         9         5         6         7        10         6
Petras                   Vasiliauskas                      1        10         5         1         2         7         6         3         6         8         8         5         8         7         8         9
Petras                   Jankauskas                        2         7         6         3         2         7         4        10         4         9         6         2         8         2         1         1
Marija                   Petraitis                         5         7         6         2         4         9         8         9         2         1         7         7         3         1         5         4
Mindaugas                Kazlauskas                        1         1         2         8         7         9         9         2         7         8        10        10         1         9         7         4
Antanas                  Jonaitis                          9         6         9         3         9         1         6         6         7         4         6         8         3         3        10         3
Petras                   Antanaitis                        7         3         7         3         1         4         3         3         4         4         9         9         2         4         4        10
Petras                   Jankauskas                        5         5         3         1         7         2         7         4         4         5         8         6         9        10         9         9
Petras                   Zukauskas                         6         4         1         9         7         1         6         1         8        10         1         4         4         7         7         9
Ruta                     Petraitis                         3         7         8         6         5         9         7         2         2         9        10         8         2         7         8         4
Ruta                     Vasiliauskas                     10         6         6         1         1        10         5         1         2         4        10        10         8         9         6        10
Jonas                    Baranauskas                       9         7         9         4         5         1         6         6         7         1         8         7         3         2         9         7
Marija                   Paulauskas                        9         8         3        10         6         3         3        10         4         8         5        10         1         2         6         9
Antanas                  Zukauskas                         5        10         4         4         4         5         9         6         7        10         9         7         6        10         9         7
Tomas                    Stankevicius                      5         6        10         9         1         4         4         7         3         9        10         8         3         8         4         3
Jonas                    Paulauskas                        6         1         2         5         4         6         2         6         7         2         9        10         9         4        10         4
Greta                    Jonaitis                          6         5         4         6         7        10         1         2         1         6         8         2         7         9         2         2
Greta                    Stankevicius                      6         1         6        10         4         3         6         3         6        10         3         3         9         6         9         2
Mindaugas                Baranauskas                       9         6         5         1         6         2         3         4         1         6         8         9        10         3         8        10
Petras                   Jankauskas                        7         4         6         5         9         2         7         6         3         9         9         3         6         7         3         6
Ona                      Jonaitis                          9         9         9         5         7         4        10         3         2         1         9         8         3         9         8         2
Tomas                    Kazlauskas                        9         2         8         7         3         2         3         6         1         5        10         3         5         9         5         6
Antanas                  Jankauskas                        7         3         7         6         7         6         1         7         4         5         4         3         9         7         5         3
Marija                   Vasiliauskas                      7         1         9        10         8         2         3         7         3         1         9         9         7         7         4         2
